report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
158438,08/11/2020 02:30,Lake Geneva,WI,USA,Cigar,LONG BAR WITH LIGHTS IN IT FOLLOWED BY INDIVIDUAL LIGHTS.,08/11/2020,N,,https://nuforc.org/sighting/?id=158438
159563,08/11/2020 02:00,Berea,KY,USA,Light,Star gazing one night then seen a light that I thought at first glance was a plane but the object was zig zagging really fast all over,09/26/2020,N,,https://nuforc.org/sighting/?id=159563
158913,08/11/2020 01:28,Clarksville,TN,USA,,MADAR Node 138,08/25/2020,N,,https://nuforc.org/sighting/?id=158913
158511,08/11/2020 00:00,Mad River,CA,USA,Disk,There was a huge blinding light and a loud sound.  About 5 little aliens were observed through infrared binoculars hopping off the craf,08/13/2020,N,,https://nuforc.org/sighting/?id=158511
158431,08/10/2020 23:46,Cincinnati,OH,USA,Light,I was sitting in the Wendy’s line and i looked up in the sky and saw 3 lights moving very rapidly. Not plane nor drone.,08/10/2020,N,,https://nuforc.org/sighting/?id=158431
158443,08/10/2020 23:30,Bunker Hill,WV,USA,Triangle,"witnessed a bright craft that appeared to be orange or amber in color. At first I thought it was a light or a star, but it started dart",08/10/2020,N,,https://nuforc.org/sighting/?id=158443
161305,08/10/2020 23:09,Liverpool (UK/England),YT,United Kingdom,Cigar,I was walking my dog very close to Liverpool john Lennon airport on the 10th of August 2020. I remember it was so strange as there was,12/26/2020,N,,https://nuforc.org/sighting/?id=161305
158742,08/10/2020 23:00,Dover,DE,USA,Circle,I was 3 minutes from my mother in laws house at 11 at night I was telling my husband to speed up because I had to go to the bathroom ou,08/19/2020,N,,https://nuforc.org/sighting/?id=158742
158430,08/10/2020 23:00,Baileys Harbor,WI,USA,Triangle,"To quit for human aircraft.  To low, and to fast for normally airplane.",08/10/2020,N,,https://nuforc.org/sighting/?id=158430
158432,08/10/2020 22:22,Milford,NH,USA,Circle,Hovering craft. Milford drive in. Defying gravity. Engine shit off.,08/10/2020,N,,https://nuforc.org/sighting/?id=158432
158382,08/10/2020 21:45,Balnarring (Australia),,Australia,Light,Bright light. Flash twice. Moving extremely slow. Multiple sightings,08/10/2020,N,,https://nuforc.org/sighting/?id=158382
158429,08/10/2020 21:33,Jakarta (Indonesia),,Indonesia,Orb,Twinkle Twinkle UFO.. Yellow Saucer - Green Orb - and bright orb that split into 3 separate lights... Jakarta- 10- August-2020,08/10/2020,N,,https://nuforc.org/sighting/?id=158429
158433,08/10/2020 21:00,Dillsburg,PA,USA,Fireball,Large bright red flash seemed to appear out of the sky at 30 degrees and fall into the horizon.,08/10/2020,N,,https://nuforc.org/sighting/?id=158433
158435,08/10/2020 21:00,Haughton,LA,USA,Circle,I saw a white light had a red blinking light was moving then stopped then stayed there,08/11/2020,N,,https://nuforc.org/sighting/?id=158435
171733,08/10/2020 19:00,Overland Park,KS,USA,Triangle,Pyramid shaped craft with rotating circular orbs underneath,09/12/2022,N,,https://nuforc.org/sighting/?id=171733
