report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
84303,09/27/2011 04:30,Richmond,KY,USA,Triangle,Triangular aircraft with huge round lights underneath traveled within 30 feet of my window as I watched it come across the river.,10/03/2011,N,,https://nuforc.org/sighting/?id=84303
84165,09/27/2011 03:45,Holland,MI,USA,Cylinder,"Cylinder shape, 2 bright lights on bottom, one on each side of craft as well as one in front, foggy skies, craft aprox 15ft from roof.",09/27/2011,N,,https://nuforc.org/sighting/?id=84165
84175,09/26/2011 23:00,Owego,NY,USA,Light,"2 shinning lights in-sink moving, came closer.",09/27/2011,N,,https://nuforc.org/sighting/?id=84175
84146,09/26/2011 22:40,Sydney (Australia),,Australia,Diamond,Diamonds in the Sky.,09/26/2011,N,,https://nuforc.org/sighting/?id=84146
84163,09/26/2011 21:40,San Francisco,CA,USA,Triangle,Triangle craft with lights seen over SF,09/26/2011,N,,https://nuforc.org/sighting/?id=84163
84161,09/26/2011 21:30,Bondville,VT,USA,Light,very bright light in eastern sky  moving  in multiple directions.  ((NUFORC Note:  We suspect a sighting of Sirius.  PD)),09/26/2011,N,,https://nuforc.org/sighting/?id=84161
84188,09/26/2011 21:30,Boise,ID,USA,Oval,multi-color flashing lights with bright white in the middle. Hovering with no noise every night.  ((NUFORC Note:  Sirius?  PD)),09/28/2011,N,,https://nuforc.org/sighting/?id=84188
84173,09/26/2011 21:17,Occoquan,VA,USA,Formation,I was leaving Belmont Bay when I saw a formation of 5-6 reddish lights in a loose formation.,09/27/2011,N,,https://nuforc.org/sighting/?id=84173
84160,09/26/2011 21:10,Watsontown,PA,USA,Triangle,Object cutting through haze of night.,09/26/2011,N,,https://nuforc.org/sighting/?id=84160
84168,09/26/2011 19:45,Myrtle Beach,SC,USA,Light,Two orange lights in the sky,09/27/2011,N,,https://nuforc.org/sighting/?id=84168
84157,09/26/2011 19:38,San Juan (Puerto Rico),PR,USA,Formation,Formation of stars in Puerto Rico,09/26/2011,N,,https://nuforc.org/sighting/?id=84157
84182,09/26/2011 18:30,Maine,NY,USA,Triangle,"Triangular shaped object.Size of large van.No noise or physical disturbance.Two rear white lights, one green light",09/27/2011,N,,https://nuforc.org/sighting/?id=84182
90638,09/26/2011 18:15,Towson,MD,USA,Egg,"Single, chrome, stationary object witnessed near Baltimore, Maryland. Vanished instantly.",07/07/2012,N,,https://nuforc.org/sighting/?id=90638
117258,09/26/2011 11:00,Ridgedale,MO,USA,Sphere,Blue sphere shows up in photograph.,02/10/2015,N,,https://nuforc.org/sighting/?id=117258
84159,09/26/2011 09:20,Georgetown,SC,USA,Cigar,White lights that multiplied,09/26/2011,N,,https://nuforc.org/sighting/?id=84159
84291,09/26/2011 04:45,Glendale (Luke Airforce Base),AZ,USA,Sphere,"UFO over Luke AFB Glendale,AZ",10/02/2011,N,,https://nuforc.org/sighting/?id=84291
84143,09/26/2011 03:40,Fraserwood (Canada),MB,Canada,Unknown,Shocking,09/26/2011,N,,https://nuforc.org/sighting/?id=84143
84144,09/26/2011 02:45,Houston,TX,USA,Light,"Point of light in the sky; too bright for star, moving unlike aircraft, satellite, ba.loon or parachute.  ((NUFORC Note:  Star??  PD))",09/26/2011,N,,https://nuforc.org/sighting/?id=84144
84142,09/26/2011 02:41,Ludowici,GA,USA,Light,I saw a group of star-like lights in the sky that blinked and moved and seemed to be directed by another larger brighter light.,09/26/2011,N,,https://nuforc.org/sighting/?id=84142
84164,09/25/2011 23:45,Camp Verde,AZ,USA,Fireball,fireball shoots of in sky to the west near camp verde AZ,09/27/2011,N,,https://nuforc.org/sighting/?id=84164
84380,09/25/2011 23:40,Phillips,ME,USA,Light,"Very large light moving across the sky, disappearing behind the tree line, followed by a flash of light as if something had exploded",10/07/2011,N,,https://nuforc.org/sighting/?id=84380
84259,09/25/2011 23:35,Scranton,PA,USA,Fireball,Fireball crossed over the Interstate,10/01/2011,N,,https://nuforc.org/sighting/?id=84259
