report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
186626,01/09/2025 06:10,León de los Aldama,Guanajuato,Mexico,Circle,"I saw a white blinking UFO in freefall. It descended rapidly, its pulsing light vivid against the dark sky",01/09/2025,N,,https://nuforc.org/sighting/?id=186626
186603,01/08/2025 23:30,Ciudad Victoria,Tamaulipas,Mexico,Sphere,"I was in the backyard with some neighbors when we saw a sphere making strange movements, there was a flash and it disappeared.",01/08/2025,N,,https://nuforc.org/sighting/?id=186603
186594,01/08/2025 23:25,Guasave,Sinaloa,Mexico,Circle,"There were 2 red dots moving, and one of them shone for a moment and reflected as 2 bars on the sides.",01/08/2025,Y,,https://nuforc.org/sighting/?id=186594
186619,01/08/2025 21:10,La Monja,Querétaro,Mexico,Fireball,Red ball with strange movements,01/09/2025,N,,https://nuforc.org/sighting/?id=186619
186620,01/08/2025 19:05,Saltillo,Coahuila,Mexico,Orb,"In the distance we heard screams that didn't seem human, the object was very bright, its color was blue and yellow",01/09/2025,N,,https://nuforc.org/sighting/?id=186620
186554,01/08/2025 10:00,Ciudad Victoria,Tamaulipas,Mexico,Chevron,"It was big. It was gray, had a chevron shape, were moving very fast, and my dog started barking a lot at them.",01/09/2025,Y,,https://nuforc.org/sighting/?id=186554
186537,01/08/2025 03:00,Athens,GA,USA,Circle,"Heard/felt a deep pulsating sound & higher one.  It emitted red light, hovered, moved left to right.  I got scared ran inside.",01/08/2025,N,,https://nuforc.org/sighting/?id=186537
186591,01/08/2025 01:04,San Juan Cosalá,Jalisco,Mexico,Circle,It was a big circular-shaped ship.,01/08/2025,N,,https://nuforc.org/sighting/?id=186591
186528,01/07/2025 23:29,Point Lookout,NY,USA,Unknown,Black craft with red and green lights circled point lookout at a low altitude,01/07/2025,N,Drone?,https://nuforc.org/sighting/?id=186528
186530,01/07/2025 22:02,Iowa City,IA,USA,Other,Mass with surrounding light ring seen through clouds above moon from ground 1/7/25 10:02pm,01/08/2025,Y,,https://nuforc.org/sighting/?id=186530
186523,01/07/2025 21:08,Uxbridge,England,United Kingdom,Triangle,,01/07/2025,N,,https://nuforc.org/sighting/?id=186523
186527,01/07/2025 19:44,Canby,OR,USA,Diamond,Looked up and saw what I believe is not a plane and don’t know what it is,01/07/2025,Y,Drone?,https://nuforc.org/sighting/?id=186527
186535,01/07/2025 19:30,New Hope,PA,USA,Light,"Saw a bright light quickly enter the airspace above Trenton Airport, where it stopped and sat above the planes for 30 minutes.",01/08/2025,N,Aircraft?,https://nuforc.org/sighting/?id=186535
