report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
68805,06/12/1996 03:00,Annapolis,MD,USA,,Saw a perfect round light changing colors. No sound,02/19/2009,N,,https://nuforc.org/sighting/?id=68805
4354,06/11/1996 17:30,Norman,OK,USA,Sphere,"Silver Sphere sighted, Flew off!  A USAF Jet circled the area in search of the object.",08/09/1998,N,,https://nuforc.org/sighting/?id=4354
27806,06/11/1996 15:00,Seattle,WA,USA,Other,metalic v - boomerang shaped craft over pugit sound in broad daylight,02/21/2003,N,,https://nuforc.org/sighting/?id=27806
56707,06/11/1996 01:00,Phippsburg,ME,USA,Disk,UFO seen In maine,05/17/2007,N,,https://nuforc.org/sighting/?id=56707
55387,06/10/1996 22:00,Blythe (north of),CA,USA,Sphere,Orange luminescent globe hovering in desert sky then moving at the speed of a meteor.,02/20/2007,N,,https://nuforc.org/sighting/?id=55387
17269,06/10/1996 21:00,Dhaka (Bangladesh),,Bangladesh,Disk,UFO SEEN IN BANGLADESH!!,04/16/2001,N,,https://nuforc.org/sighting/?id=17269
28327,06/10/1996 01:00,Eddington,ME,USA,Triangle,"Triangular shaped UFO with blue lights hovering above field off of Route 46 in Eddington, Maine.",04/05/2003,N,,https://nuforc.org/sighting/?id=28327
1551,06/09/1996 05:00,Banning,CA,USA,Light,"Young woman on Hwy. I-10 watches bright light for 40 miles. Light turns slate gray, or black, changes shape. Suddenly disintegrates!",06/11/1996,N,,https://nuforc.org/sighting/?id=1551
1552,06/08/1996 21:30,Granite Falls,WA,USA,,"WA/MUFON member relays report:  Man repts. witnessing a brightly lighted, white spherical object near town.  (Facts not complete.)",06/11/1996,N,,https://nuforc.org/sighting/?id=1552
32368,06/08/1996 16:30,Beloit,WI,USA,Other,Oddly shaped black object hovering high in the daytime sky for about 20 minutes and then dissappearing.,10/18/2003,N,,https://nuforc.org/sighting/?id=32368
5843,06/07/1996 22:30,"Sydney (NSW, Australia)",,Australia,Triangle,Saw two dark triangular shaped objects that hovered for a couple of minutes before taking off at great speed,03/10/1999,N,,https://nuforc.org/sighting/?id=5843
1944,06/07/1996 22:00,"Ely (60 Miles south of, US Highway 93)",NV,USA,Triangle,"a triangular craft app 300 ft wide moved in an easterly direction  very slowly app 200 ft off the ground with no lights on it

at abo",01/12/1997,N,,https://nuforc.org/sighting/?id=1944
1545,06/07/1996 02:20,Palmdale,CA,USA,,"Woman and husband witness very bright light moving across night sky.  Obj. turns, at which couple sees a solid, strobing light nearby.",06/07/1996,N,,https://nuforc.org/sighting/?id=1545
133667,06/06/1996 23:00,Muenster,TX,USA,,"Dear Reader, I am writing you to share an experience I had with what I believe to have been a life form not of this earth.

First,le",04/17/2017,N,,https://nuforc.org/sighting/?id=133667
152505,06/06/1996 10:00,Rocker,MT,USA,Circle,2nd time I saw a UFO. Me and my brother both witnessed the object. Me and my brother which lived in Anaconda MT we were going to Butte,01/11/2020,N,,https://nuforc.org/sighting/?id=152505
1538,06/05/1996 23:30,Lancaster,SC,USA,,"Man, wife, & son witness very bright obj. in night sky near moon.  Obj. reptd. to move ""a fist's width across sky.""  (Planet or star?)",06/05/1996,N,,https://nuforc.org/sighting/?id=1538
1541,06/05/1996 22:00,Jackson,OH,USA,,"Family immense, peculiar obj. roar overhead; sound like ""C-47."" Green lights down 1 side; accompanied by ""white lights."" Low alt.",06/06/1996,N,,https://nuforc.org/sighting/?id=1541
179580,06/05/1996 03:00,Buckeye,AZ,USA,Light,This thing was cloaked with some light bending tech. producing only a quiet barely perceptible hum,12/03/2023,N,,https://nuforc.org/sighting/?id=179580
29621,06/04/1996 22:00,Show Low (rural),AZ,USA,Other,"UFO Crash - 1996 - Apache County, AZ",07/08/2003,N,,https://nuforc.org/sighting/?id=29621
1536,06/04/1996 21:00,Scottsdale,AZ,USA,,"Man witnesses a large, bright white ""ball of light"" pass overhead very fast.  Not a satellite, he thought.",06/04/1996,N,,https://nuforc.org/sighting/?id=1536
1528,06/03/1996 20:00,Gaithersburg,MD,USA,,"Wife, husband, son witness 3 peculiar objs. in sky.  Bright, strobing lights on black, cyl.-shaped craft.  No wings. 1 ascends vert.!",06/04/1996,N,,https://nuforc.org/sighting/?id=1528
1550,06/03/1996 18:30,Oglethorpe,GA,USA,,"Rept. from MUFON:  13x adults witness large craft, ""like two turtle shells joined together.""  30x50 feet.  Gray top, beige bottom.",06/11/1996,N,,https://nuforc.org/sighting/?id=1550
133039,06/01/1996 23:15,Ringoes,NJ,USA,,Green orb; ft. diameter.,03/09/2017,N,,https://nuforc.org/sighting/?id=133039
108681,06/01/1996 23:00,North Providence,RI,USA,Sphere,((HOAX??  Obscene))  A life situation loke no other.,04/16/2014,N,,https://nuforc.org/sighting/?id=108681
