report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
17080,01/10/1971 20:00,La Ronge (Canada),SK,Canada,Unknown,sighting at anglo rouyn mine in the early 1970' s in norhtern sk.,03/31/2001,N,,https://nuforc.org/sighting/?id=17080
14380,01/07/1971 22:00,Tewksbury,MA,USA,,Nothing in nature or manmade could have produced this light on the same night as other sightings in the area.,10/02/2000,N,,https://nuforc.org/sighting/?id=14380
13372,01/01/1971 14:00,Hong Kong,,Hong Kong SAR,Oval,A bright greenish type of  bubble of light landed on the merry-go-round in our primary school playground.,07/10/2000,N,,https://nuforc.org/sighting/?id=13372
9965,01/01/1971 01:00,Niagara Falls (Canada),ON,Canada,Oval,"In van driving home. Van stalled beside Winery. One block ahead, hovering over an old schoolhouse was bright lights - Red and white cir",09/28/1999,N,,https://nuforc.org/sighting/?id=9965
133295,12/24/1970 23:20,Fairhaven,MA,USA,Disk,"As I looked up, I was in shock to see the underbelly of a flying dark grey metallic disk, emitting a soft blue light over the house.",03/25/2017,N,,https://nuforc.org/sighting/?id=133295
97514,12/24/1970 18:00,Berlin,NJ,USA,Cylinder,"Cylinder shape, not fast moving like you see in all the usual sightings. Like i could feel it observing me.",05/02/2013,N,,https://nuforc.org/sighting/?id=97514
41849,12/24/1970 00:00,Colorado Springs (50 miles west of),CO,USA,Rectangle,Growing-up with aliens,02/09/2005,N,,https://nuforc.org/sighting/?id=41849
28895,12/21/1970 19:00,Lake  Wales,FL,USA,Oval,Pulled over by a ufo using police lights,05/22/2003,N,,https://nuforc.org/sighting/?id=28895
89823,12/20/1970 17:00,Meriden,CT,USA,Unknown,My parents & I just sat down for dinner when my Aunt came over to say she see's a funny thing in the sky . itm was dark already because,06/21/2012,N,,https://nuforc.org/sighting/?id=89823
76949,12/15/1970 21:00,Newton Centre,MA,USA,Other,Vertical trapazoid having a glowing pale yellow cloor and gliding across the sky with a wallowing motion.,08/02/2010,N,,https://nuforc.org/sighting/?id=76949
3555,12/15/1970 00:40,"Flisa, Solør, Hedemark (Norway)",,Norway,Disk,"3 disks with firetails,moving quite fast over a mountain, went vertically up in a flash and diseapeared.",05/16/1998,N,,https://nuforc.org/sighting/?id=3555
185297,12/05/1970 21:00,Houston,TX,USA,Light,"Star flew from left to right at tremendous speed. Moved back to the middle, straight down, then straight up out of sight.",12/15/2024,N,,https://nuforc.org/sighting/?id=185297
45032,12/05/1970 20:00,Albuquerque,NM,USA,Other,1970 Sighting over Kirtland Airforce base in New Mexico.,07/16/2005,N,,https://nuforc.org/sighting/?id=45032
93305,12/01/1970 16:30,Union,NJ,USA,Disk,"UFO over 5 Points, Union , NJ",10/04/2012,N,,https://nuforc.org/sighting/?id=93305
139449,11/15/1970 22:00,Somerville,NJ,USA,Disk,What do you do with a guy from another planet?,04/14/2018,N,,https://nuforc.org/sighting/?id=139449
47923,11/15/1970 21:00,Somerville,NJ,USA,Disk,We Had An Alien Trapped!,11/29/2005,N,,https://nuforc.org/sighting/?id=47923
41541,11/15/1970 20:00,Columbus,OH,USA,Sphere,I saw the Three Red Lights back in the 70's.,01/16/2005,N,,https://nuforc.org/sighting/?id=41541
37363,11/07/1970 21:00,Franklin,TN,USA,Sphere,White globe above river at prehistoric indian site,06/05/2004,N,,https://nuforc.org/sighting/?id=37363
42974,11/05/1970 01:00,Beardstown,IL,USA,Light,1970 mysterious light in beardstown IL,03/14/2005,N,,https://nuforc.org/sighting/?id=42974
28543,11/04/1970 12:00,Boggabri (Australia),,Australia,Disk,Mystery disk siting at on property called BUNGALOW Aust. 11 miles out of Boggabri.,04/25/2003,N,,https://nuforc.org/sighting/?id=28543
26460,11/01/1970 20:30,Rochester,NY,USA,,A number of cases described a reddish clay residue that had been found at abduction sites.,12/06/2002,N,,https://nuforc.org/sighting/?id=26460
108240,10/30/1970 03:00,Corpus Christi,TX,USA,Oval,"Strange lights outside of bedroom window, little aliens.",03/31/2014,N,,https://nuforc.org/sighting/?id=108240
8277,10/29/1970 19:50,Lindenhurst,NY,USA,Sphere,"Object raced across sky, stopped, zig zagged back and then took off out of sight. We seemed frozen, watched stopped, arm hairs stood up",07/07/1999,N,,https://nuforc.org/sighting/?id=8277
71382,10/15/1970 23:00,San Diego/Pacific Beach,CA,USA,Light,"I saw a UFO in the night sky over Pacific Beach in San Diego, & while being trailed by 2 jets firing tracers the object turned north on",07/28/2009,N,,https://nuforc.org/sighting/?id=71382
77374,10/15/1970 19:00,London (UK/England),,United Kingdom,Unknown,Single bright cone shaped beam of light.,08/23/2010,N,,https://nuforc.org/sighting/?id=77374
24297,10/15/1970 10:00,Westland,MI,USA,Unknown,"Early 1970's, object going around the sun.",08/08/2002,N,,https://nuforc.org/sighting/?id=24297
61389,10/10/1970 19:00,Manchester,KY,USA,Unknown,"Slow moving, silent craft accelerated at an unbelievable angle and speed.",02/02/2008,N,,https://nuforc.org/sighting/?id=61389
12813,10/10/1970 16:00,Bellmore,NY,USA,Disk,silver disc seen by family and neighbors,05/07/2000,N,,https://nuforc.org/sighting/?id=12813
139574,10/02/1970 21:55,Vincennes,IN,USA,,MADAR Event No. 3.,04/22/2018,N,,https://nuforc.org/sighting/?id=139574
37948,10/01/1970 23:00,Indian Ocean (USN vessel),,Indian Ocean,Light,"Bright object seemingly appeared out of nowhere in the Indian Ocean, miles from any land.",07/06/2004,N,,https://nuforc.org/sighting/?id=37948
15833,10/01/1970 21:00,New York City (Brooklyn),NY,USA,Disk,"Saucer/disklike craft, with multi-colored lights sighted in Bayridge Brooklyn in 1970 with many eyewitnesses.",01/08/2001,N,,https://nuforc.org/sighting/?id=15833
19020,10/01/1970 19:00,Tampa,FL,USA,Other,36 year old reports an object he saw with his mother 31 years ago.,08/16/2001,N,,https://nuforc.org/sighting/?id=19020
38328,10/01/1970 19:00,Summit Lake Indian Reservation,NV,USA,Oval,"ball of light, turned into a doughnut shape, assention, stream, 4 witnesses,seen from higher elevation.",07/26/2004,N,,https://nuforc.org/sighting/?id=38328
53806,10/01/1970 17:30,Bentonville,AR,USA,Other,Hoseshoe shaped,12/04/2006,N,,https://nuforc.org/sighting/?id=53806
60761,10/01/1970 16:00,New York City (Brooklyn),NY,USA,Disk,"Hoovering disk like object by Father and Son, Brookyln, NY 1970",01/10/2008,N,,https://nuforc.org/sighting/?id=60761
46356,10/01/1970 01:00,Kingston (Canada),ON,Canada,Orb,Sept. 1970. Kingston Ontario. Spherical grren orb. 3 minute duration. Bright green orb travelled slowly and then took off extremely qui,09/19/2005,N,,https://nuforc.org/sighting/?id=46356
37234,10/01/1970 00:00,Viet Nam,,Vietnam,Light,U.F.O. in Vietnam 1970.,05/30/2004,N,,https://nuforc.org/sighting/?id=37234
35522,09/22/1970 23:00,New York City (Manhattan),NY,USA,Sphere,"While I realize this is reaching a bit far back, I believe this is an important sighting, and should be reported.

 It was around 11:",03/10/2004,N,,https://nuforc.org/sighting/?id=35522
139575,09/22/1970 12:30,Vincennes,IN,USA,,MADAR Event No.2,04/22/2018,N,,https://nuforc.org/sighting/?id=139575
88783,09/22/1970 01:30,Whitby (Canada),ON,Canada,Light,Whitby Ontario Canada 1:30 am saw a flashing light  moving in diferent directions and at different speeds,05/04/2012,N,,https://nuforc.org/sighting/?id=88783
57094,09/22/1970 01:00,Homestead,FL,USA,Light,BRIGHT LIGHT...LOST POWER TO MISSILE SITE...LEFT AT HIGH RATE OF SPEED,06/15/2007,N,,https://nuforc.org/sighting/?id=57094
61909,09/21/1970 18:30,Quincy,IL,USA,Unknown,"Bright  blue/white light and lost time.

 500 Lights On Object0: Yes",02/24/2008,N,,https://nuforc.org/sighting/?id=61909
61034,09/20/1970 20:00,Russellton,PA,USA,Triangle,4 Sided UFO with Lights spotted in Russellton in the Summer  of 1970,01/20/2008,N,,https://nuforc.org/sighting/?id=61034
177327,09/19/1970 19:00,Willington,CT,USA,Disk,We were tracked by a alien craft.,08/07/2023,N,,https://nuforc.org/sighting/?id=177327
95605,09/15/1970 20:00,Sturgeon,MO,USA,Unknown,Rumbling noise Bright light and Silence In MO.,12/30/2012,N,,https://nuforc.org/sighting/?id=95605
17765,09/15/1970 07:30,Deer Creek,CA,USA,Diamond,UFO's land and at flight during a overcast morning...,05/23/2001,N,,https://nuforc.org/sighting/?id=17765
41833,09/15/1970 00:00,Gillingham (UK/England),,United Kingdom,Chevron,Watching Discovery Science on TV about the Pheonix lights brought to memory an event that happened to me in I think 1970 in either Sept,02/08/2005,N,,https://nuforc.org/sighting/?id=41833
36099,09/10/1970 21:30,San Angelo,TX,USA,Light,Three white light plasma craft (w intelligent thought) sped across Texas sky and the shot up into atmosphere.,04/10/2004,N,,https://nuforc.org/sighting/?id=36099
72732,09/10/1970 11:00,Mundelin,IL,USA,Disk,It wasn't so much what I saw but how it moved that I will never forget.,10/05/2009,N,,https://nuforc.org/sighting/?id=72732
53563,09/08/1970 22:00,Kirkby (Merseyside) (UK/England),,United Kingdom,Egg,"WHILE TRAWLING THROUGH UFO WEB SITES I CAME ACROSS A REPORT WHICH OCCURED ON SEPTEMBER 8 1970,IT INVOLVED A LIGHTNING JET THAT WAS SCRA",11/22/2006,N,,https://nuforc.org/sighting/?id=53563
139576,09/08/1970 16:45,Vincennes,IN,USA,,MADAR Event No. 1,04/22/2018,N,,https://nuforc.org/sighting/?id=139576
106897,09/07/1970 23:11,Pittsburgh,PA,USA,Disk,Saucer shaped object with orange lights.,02/03/2014,N,,https://nuforc.org/sighting/?id=106897
63256,09/01/1970 14:00,Los Angeles,CA,USA,Disk,Northbound saucer-shaped objects zigzag across Southern California,05/18/2008,N,,https://nuforc.org/sighting/?id=63256
139577,08/30/1970 11:00,Vincennes,IN,USA,Disk,"""Like a garbage can lid with a piece of watermelon on top""; hovering over the road. ((NUFORC Note:  Report from Francis Ridge.  PD))",04/22/2018,N,,https://nuforc.org/sighting/?id=139577
28667,08/26/1970 23:00,Brady,TX,USA,Disk,Saucer shaped object seen between Brady and Cherokee Texas,05/04/2003,N,,https://nuforc.org/sighting/?id=28667
28718,08/26/1970 09:30,Brady,TX,USA,Circle,Object with colored lights seen in nite sky,05/08/2003,N,,https://nuforc.org/sighting/?id=28718
73199,08/24/1970 23:50,Toms River,NJ,USA,Sphere,"Sphere hovered over neighbors house; possible entity sighting.

 500 Lights On Object0: Yes",11/08/2009,N,,https://nuforc.org/sighting/?id=73199
45443,08/22/1970 21:30,Sebastian,FL,USA,Unknown,Blue cone shaped light appears from sky and flashes downward as it pursues a family in vehicle.,08/03/2005,N,,https://nuforc.org/sighting/?id=45443
