report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
30522,08/01/2003 00:30,Caribbean Sea (cruise boat) (150 mi. N of Cozumel),FL,Caribbean Sea,Triangle,carabian cruise brings view of three lights in a triangular shape that stay stationary then rapidly move to the east.,08/04/2003,N,,https://nuforc.org/sighting/?id=30522
30463,08/01/2003 00:20,Salem,MA,USA,Light,Three Orange Lights In Salem Moving Fast With Random Course Change.,07/31/2003,N,,https://nuforc.org/sighting/?id=30463
30642,08/01/2003 00:15,Cozumel (north of) (Mexico),,Mexico,Circle,Strange lights seen off a cruise ship in the Caribbean.,08/11/2003,N,,https://nuforc.org/sighting/?id=30642
33088,08/01/2003 00:00,Reno,NV,USA,Other,ME AND MY BUDDY GOT OFF WORK AT 11:00 PM WE DROVE DOWN RED ROCK ROAD BEHIND THE AIRPORT  WE CAME TO A CANYON AREA WHERE WE NOTICED A LI,11/13/2003,N,,https://nuforc.org/sighting/?id=33088
30480,07/31/2003 23:35,Houston (Canada),BC,Canada,Light,HBCCUFO CANADIAN REPORT:  Bright white light zig zagged low in the night sky.,08/02/2003,N,,https://nuforc.org/sighting/?id=30480
30471,07/31/2003 23:30,Edmonds,WA,USA,Unknown,Strange satelite(s)?,08/01/2003,N,,https://nuforc.org/sighting/?id=30471
30479,07/31/2003 23:30,Houston (Canada),BC,Canada,Light,HBCCUFO CANADIAN REPORT:  Object it zig zagged and disappeared.,08/02/2003,N,,https://nuforc.org/sighting/?id=30479
30472,07/31/2003 22:45,Redmond,WA,USA,Other,"I looked out my bedroom window and saw a ferris wheel type shaped object hovering and glowing red, yellow and green.",08/01/2003,N,,https://nuforc.org/sighting/?id=30472
30464,07/31/2003 22:40,Seattle,WA,USA,Light,"It was about 10:40 pm. a light moving slowly north, seemed like a plane but suddenly moved very fast in an arc and dissappeared.",07/31/2003,N,,https://nuforc.org/sighting/?id=30464
50486,07/31/2003 14:00,Des Moines,IA,USA,Cigar,Cloaking Cigar...,05/09/2006,N,,https://nuforc.org/sighting/?id=50486
30460,07/31/2003 13:20,Lansing,MI,USA,Rectangle,"long object over Lansing, MI",07/31/2003,N,,https://nuforc.org/sighting/?id=30460
30616,07/31/2003 03:00,Tulsa,OK,USA,Light,I saw a super-bright light standing still for 30 seconds and a minute later it was moving,08/10/2003,N,,https://nuforc.org/sighting/?id=30616
30946,07/31/2003 02:00,Kelowna (Canada),BC,Canada,Other,HBCCUFO CANADIAN REPORT:  Connection With Missing Time Experience,08/27/2003,N,,https://nuforc.org/sighting/?id=30946
30451,07/31/2003 01:35,Wilmington,CA,USA,Light,"red glowing object splits, then 1 splits off and falls to earth, then both disapear",07/31/2003,N,,https://nuforc.org/sighting/?id=30451
30799,07/31/2003 01:30,Kelowna (Canada),BC,Canada,Other,"HBCCUFO CANADIAN REPORT:  Missing Time In Kelowna, British Columbia",08/20/2003,N,,https://nuforc.org/sighting/?id=30799
31320,07/31/2003 01:00,Westbank (Canada),BC,Canada,Flash,HBCCUFO CANADIAN REPORT:  It flashed as bright as a flash of lightening.,09/08/2003,N,,https://nuforc.org/sighting/?id=31320
30448,07/30/2003 23:50,Airdrie (Canada),AB,Canada,Light,HBCCUFO CANADIAN REPORT:  Pulsating a bright blue white light.,07/30/2003,N,,https://nuforc.org/sighting/?id=30448
44570,07/30/2003 23:00,Paradise Island (Bahamas),,Bahamas,Other,Two cloud like objects.,06/25/2005,N,,https://nuforc.org/sighting/?id=44570
30452,07/30/2003 23:00,Edinburgh (UK/Scotland),,United Kingdom,Formation,cloud of smoke with cicular light/object? in centre hovering over Edinburgh house estate - 30/7.03,07/31/2003,N,,https://nuforc.org/sighting/?id=30452
30447,07/30/2003 22:53,Silverdale,WA,USA,Light,very fast very bright light moving in a vertical(up) direction did not dim out just went out.,07/30/2003,N,,https://nuforc.org/sighting/?id=30447
30454,07/30/2003 22:50,Tioga,ND,USA,Unknown,A blue light that moved fast in the sky then slowed rapidly turned red and then faded.,07/31/2003,N,,https://nuforc.org/sighting/?id=30454
30545,07/30/2003 19:00,Birmingham,AL,USA,Rectangle,"Rectangle shape, like a flat non-reflective white 2-by-4, and seemed suspended in air - - no movement.",08/06/2003,N,,https://nuforc.org/sighting/?id=30545
30488,07/30/2003 12:50,Glendora,CA,USA,Oval,"Saw a hovering, tilted, silvery oval with a dome on top. I saw it in the sky 7-30-03 at 12:50pm in Glendora, CA for 2-3 scs. Flew aw",08/02/2003,N,,https://nuforc.org/sighting/?id=30488
30449,07/30/2003 07:52,Las Vegas,NV,USA,Egg,Multiple objects in formation that flew away at tremendous speed,07/31/2003,N,,https://nuforc.org/sighting/?id=30449
30456,07/30/2003 02:41,Mena,AR,USA,Triangle,The object was of un known orgin,07/31/2003,N,,https://nuforc.org/sighting/?id=30456
30584,07/30/2003 02:30,Delaware,OH,USA,Changing,Dancing light in the sky appeared like a star but then changed colors and positions rapidly unlike a plane,08/08/2003,N,,https://nuforc.org/sighting/?id=30584
30434,07/30/2003 00:05,Bushkill,PA,USA,Formation,Perfect Triangular Formation of Silent Star-Like Lights Heading South Lasting About 1 1/2 Minutes,07/30/2003,N,,https://nuforc.org/sighting/?id=30434
30425,07/29/2003 23:35,Alcochete (Portugal),,Portugal,Triangle,Vasco da Gama Sight,07/29/2003,N,,https://nuforc.org/sighting/?id=30425
30430,07/29/2003 23:30,New York City (Brooklyn),NY,USA,Changing,My wife looked out the window at around 11:30 PM. and saw a light in the distance to the west over Manhattan.  At first we thought it w,07/29/2003,N,,https://nuforc.org/sighting/?id=30430
32432,07/29/2003 23:00,Arlington,WA,USA,Unknown,"Continuous Fireworks in the sky near Arlington, WA",10/19/2003,N,,https://nuforc.org/sighting/?id=32432
30431,07/29/2003 22:45,Lynnwood,WA,USA,Orb,"Two lights moving rapidly, changing distance from each other and one disappearing & reappearing.",07/29/2003,N,,https://nuforc.org/sighting/?id=30431
30462,07/29/2003 13:00,Key West,FL,USA,Disk,"Six adults witness a cluster of colorful, disc-shaped objects hover over Key West for approx. 15 min..",07/31/2003,N,,https://nuforc.org/sighting/?id=30462
30439,07/29/2003 12:00,Zionsville,IN,USA,Circle,"Small silver disc, Stationary in clear sky",07/30/2003,N,,https://nuforc.org/sighting/?id=30439
30411,07/29/2003 04:30,Harrison Township,MI,USA,Circle,Bright yellow object in southern sky moved around constantly for 35 minutes while maintaining its position above the earth.,07/29/2003,N,,https://nuforc.org/sighting/?id=30411
49905,07/29/2003 02:00,Bucharest (Romania),,Romania,Sphere,FOUR SPHERES BALANCING (LIKE A BALLET) IN THE NIGHT,03/31/2006,N,,https://nuforc.org/sighting/?id=49905
30410,07/29/2003 01:22,Fairfield,CA,USA,Unknown,Single bright light that moved like no airplane i have ever seen before,07/29/2003,N,,https://nuforc.org/sighting/?id=30410
33354,07/29/2003 00:30,Harrison Twp.,MI,USA,Circle,star-like object moving stangely,11/23/2003,N,,https://nuforc.org/sighting/?id=33354
