report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
108626,04/13/2014 21:00,Merced,CA,USA,Light,Merced CA Bright red lights flashing in line sequence.,04/14/2014,N,,https://nuforc.org/sighting/?id=108626
108630,04/13/2014 21:00,Huntsville,AL,USA,Orb,Orange orb seen.,04/14/2014,N,,https://nuforc.org/sighting/?id=108630
108610,04/13/2014 12:49,Pine,AZ,USA,Unknown,Mysteriose lights in sky.,04/13/2014,N,,https://nuforc.org/sighting/?id=108610
108729,04/13/2014 12:00,Snoqualmie Pass,WA,USA,Triangle,"My Aunt and I witnessed two drone size, fast, stealth like crafts fly past us on snoqualmie pass April 13.",04/18/2014,N,,https://nuforc.org/sighting/?id=108729
108617,04/13/2014 03:15,Encinitas,CA,USA,Orb,Two low bright lights hovering/moving back and forth off the 5 in Encinitas; 3:15 am.,04/14/2014,N,,https://nuforc.org/sighting/?id=108617
108611,04/13/2014 02:00,Fayetteville,WV,USA,Fireball,Baseball on fire.,04/13/2014,N,,https://nuforc.org/sighting/?id=108611
108613,04/13/2014 02:00,Orlando,FL,USA,Disk,"Ufo Space craft landing on earth in Orlando, FL, near East Semoran Blvd..",04/13/2014,N,,https://nuforc.org/sighting/?id=108613
108644,04/13/2014 02:00,Benson,AZ,USA,Formation,orange glowing lights in the southwest.,04/14/2014,N,,https://nuforc.org/sighting/?id=108644
108768,04/13/2014 01:45,Orlando,FL,USA,Disk,Disk shape floating going up and down. Lights changed from green to red.,04/20/2014,N,,https://nuforc.org/sighting/?id=108768
108587,04/13/2014 00:24,Sterling Heights,MI,USA,Unknown,"Red light moving and changing colors as it rotated over Sterling Heights, Michigan.",04/12/2014,N,,https://nuforc.org/sighting/?id=108587
108715,04/13/2014 00:00,High Prairie (Canada),AB,Canada,Sphere,"A large bright, ball shaped object in the sky, that sits stationary sometimes.",04/17/2014,N,,https://nuforc.org/sighting/?id=108715
108579,04/12/2014 22:26,Woodbury,TN,USA,Flash,As stated above....,04/12/2014,N,,https://nuforc.org/sighting/?id=108579
108586,04/12/2014 22:23,Huntertown,IN,USA,Circle,At least 20 red lights moving across the sky.,04/12/2014,N,,https://nuforc.org/sighting/?id=108586
108585,04/12/2014 22:20,El Paso,TX,USA,Oval,Local news KVIA reports blue light with fire being shot down to Earth.,04/12/2014,N,,https://nuforc.org/sighting/?id=108585
108629,04/12/2014 22:00,Milton (5 miles south of),WV,USA,,In West Virginia about 5 miles south of Milton on big 2 mile rd Saturday evening 4-12-14 between 8pm and midnight I saw 10-12 bright or,04/14/2014,N,,https://nuforc.org/sighting/?id=108629
