report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
72390,09/19/2009 20:00,Plymouth Meeting,PA,USA,Cone,"Cone of light, higher than plane or helicopter, Did not move. ((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72390
72394,09/19/2009 20:00,Neptune City,NJ,USA,Light,very bright large cone shaped light in sky for 15 seconds .... then disapered.  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72394
72400,09/19/2009 20:00,Chatham,NJ,USA,Light,very bright  V shape light pointing downwards.  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72400
72403,09/19/2009 20:00,Millersvill,PA,USA,Unknown,Bright beam of light in night sky.  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72403
72412,09/19/2009 20:00,Greenfield,MA,USA,Light,White light with no known source fading into a mist without sound on cloudless night.  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72412
72413,09/19/2009 20:00,Canton,OH,USA,Light,Ball of light with  illuminating light shining down at night sat still. ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72413
72418,09/19/2009 20:00,Orwell,VT,USA,Unknown,Cone of light emanating downward from stationary point in the sky.  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72418
72422,09/19/2009 20:00,Wallingford,CT,USA,Fireball,"Wallingford, CT UFO siting?  ((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72422
72428,09/19/2009 20:00,Glenside,PA,USA,Light,A triangular bright light pointing downward in a haze on a clear night.((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72428
72440,09/19/2009 20:00,Lincoln,NE,USA,Fireball,Orange fireball looking object moving very slowely in the sky.,09/19/2009,N,,https://nuforc.org/sighting/?id=72440
72444,09/19/2009 20:00,Arlington,MA,USA,Cone,Cone Shaped light from bright dot. ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72444
72414,09/19/2009 19:58,North Smithfield,RI,USA,Sphere,I was looking up at the stars and all of the sudden a giant circle was right in front of my eyes. ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72414
73208,09/19/2009 19:58,Mount Jewettt,PA,USA,Triangle,Bright white triangle off to the lower right of Jupiter.  ((NUFORC Note:  Missile launch.  PD)),11/09/2009,N,,https://nuforc.org/sighting/?id=73208
72383,09/19/2009 19:57,Shelton,CT,USA,Circle,circle of light with beam of light shining towards the ground  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72383
72460,09/19/2009 19:55,Lititz,PA,USA,,Saw a bright disk shaped light that omitted a steamy substance and then dissapeared.  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72460
72384,09/19/2009 19:55,Ellington,CT,USA,Light,"Odd bright light in sky, with haze around it that seems to fade out.  ((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72384
72402,09/19/2009 19:55,Newburgh,NY,USA,Cone,"Unidentified light emmiting cone shaped object spotted hovering over Newburg,  NY ((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72402
72445,09/19/2009 19:55,Westover,PA,USA,,"09/19/09   Westover, PA     Light with beam coming out of it.    lasted about 1 min ((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72445
72391,09/19/2009 19:54,Whitinsville,MA,USA,Light,Bright  white light for 10 seconds with a fading shower.  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72391
72481,09/19/2009 19:53,Boonton,NJ,USA,Oval,Sighting of an elevating object that emitted a strong traingular light downward.,09/20/2009,N,,https://nuforc.org/sighting/?id=72481
72407,09/19/2009 19:53,Wareham,MA,USA,Unknown,We called 911 and reported this to the Bourne State police barracks. No way we were the only ones who saw this.,09/19/2009,N,,https://nuforc.org/sighting/?id=72407
72461,09/19/2009 19:52,Auburn,PA,USA,Light,"bight light appeared in sky shinning a beam down for 30 seconds 
((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72461
72499,09/19/2009 19:52,Southbury,CT,USA,Cone,"Cone shaped bright white light - gradually disappeared / resembled a flashlight pointing down.
((NUFORC Note:  Missile launch.  PD))",09/20/2009,N,,https://nuforc.org/sighting/?id=72499
72543,09/19/2009 19:52,Cornwall,VT,USA,Cone,"cone of light in sky at height of air traffic  
((NUFORC Note:  Missile launch.  PD))",09/21/2009,N,,https://nuforc.org/sighting/?id=72543
72545,09/19/2009 19:52,Dundalk,MD,USA,Light,"dot of light whith a beam of light below it, beam of light was in a cone shape 
((NUFORC Note:  Missile launch.  PD))",09/21/2009,N,,https://nuforc.org/sighting/?id=72545
72387,09/19/2009 19:52,Mount Penn,PA,USA,Circle,"Light appears, searches, than disappears into a mist.  ((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72387
72389,09/19/2009 19:52,Glens Falls,NY,USA,Circle,Circle of light with triangular ray  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72389
72395,09/19/2009 19:52,West Chester,PA,USA,Cone,"A white circle of light with a lighter, cone-shaped light underneath it;  the circle disappeared the cone shape faded to a ""cloud""",09/19/2009,N,,https://nuforc.org/sighting/?id=72395
72405,09/19/2009 19:52,Great Barrington,MA,USA,Light,"Bright pure white cone of light, not moving, over northwestern Connecticut, for about 20 sec.. ((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72405
72439,09/19/2009 19:52,New Milford,CT,USA,Light,Star-like object in the sky with beam of light directed down to earth,09/19/2009,N,,https://nuforc.org/sighting/?id=72439
72469,09/19/2009 19:51,Colchester,CT,USA,Light,"Large, bright white ""spotlight"" high in sky over Colchester, Ct  
((NUFORC Note:  Missile launch.  PD))",09/20/2009,N,,https://nuforc.org/sighting/?id=72469
72426,09/19/2009 19:51,Plainfield,NH,USA,Other,"Growing, star-like object expels glowing cloud and then collapses into cloud and is gone.
((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72426
72474,09/19/2009 19:50,Riverhead,NY,USA,Cone,It was like a bright white spot light.  It then split into 2 and disapeared. ((NUFORC Note:  Missile launch.  PD)),09/20/2009,N,,https://nuforc.org/sighting/?id=72474
72483,09/19/2009 19:50,Auburn,MA,USA,Disk,a white cone shape light  in the sky.  ((NUFORC Note:  Missile launch.  PD)),09/20/2009,N,,https://nuforc.org/sighting/?id=72483
72502,09/19/2009 19:50,Sterling,CT,USA,Unknown,Large glow of light that led down to a beam with no sound.  ((NUFORC Note:  Missile launch.  PD)),09/20/2009,N,,https://nuforc.org/sighting/?id=72502
72511,09/19/2009 19:50,Providence,RI,USA,Unknown,I ran across information that seems to explain the beams.  ((NUFORC Note:  Missile launch.  PD)),09/20/2009,N,,https://nuforc.org/sighting/?id=72511
72525,09/19/2009 19:50,Evans City,PA,USA,Triangle,Triangular object in the sky in Evans City pa  ((NUFORC Note:  Missile launch.  PD)),09/21/2009,N,,https://nuforc.org/sighting/?id=72525
72538,09/19/2009 19:50,Dundalk,MD,USA,Sphere,"A dark sphere appeared southeast of dundalk, maryland then disappeared leaving a haze of smoke.((NUFORC Note:  Missile launch.  PD))",09/21/2009,N,,https://nuforc.org/sighting/?id=72538
72385,09/19/2009 19:50,Trumbull,CT,USA,Sphere,"Bright white light over Trumbull, CT.  ((NUFORC Note:  Missile launch.  PD))",09/19/2009,N,,https://nuforc.org/sighting/?id=72385
72386,09/19/2009 19:50,Berwick,ME,USA,Triangle,(light with defined beam appeared very bright(looked like an upside down v). ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72386
72388,09/19/2009 19:50,Troy,NY,USA,Unknown,"large bright missle like object, headed straight up leaving an inverted v shaped dust cloud behind it - very very large - reached a cer",09/19/2009,N,,https://nuforc.org/sighting/?id=72388
72393,09/19/2009 19:50,Abingdon,MD,USA,Cylinder,Extremely bright and radiating light outward.  ((NUFORC Note:  Missile launch.  PD)),09/19/2009,N,,https://nuforc.org/sighting/?id=72393
