report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
171902,09/19/2022 21:50,Ocean City,MD,USA,Formation,Red lights in the sky,09/20/2022,Y,,https://nuforc.org/sighting/?id=171902
171915,09/19/2022 21:32,Wexford,,Ireland,Circle,Flashing circular moving across the sky at rapid speed,09/19/2022,N,,https://nuforc.org/sighting/?id=171915
178361,09/19/2022 21:22,La Jolla,CA,USA,Unknown,boyfriend & I saw 2 gold lights appear then disappeared. then 5 reappeared in formation of 4 in bottom 1 on top disappeared soundless,09/15/2023,Y,Flares?,https://nuforc.org/sighting/?id=178361
172239,09/19/2022 21:22,San Diego,CA,USA,Circle,Mission Beach UFO,10/08/2022,N,,https://nuforc.org/sighting/?id=172239
171906,09/19/2022 21:15,between lindale texas and canton texas,TX,USA,Triangle,basically just a row of windows? traveling low and slow over the highway then just fading out.,09/19/2022,N,,https://nuforc.org/sighting/?id=171906
173215,09/19/2022 21:14,Saint Augustine,FL,USA,Circle,I thought it was Starlink at first but I zoomed in and noticed there was a dome in the center of the disc.,11/28/2022,Y,,https://nuforc.org/sighting/?id=173215
171908,09/19/2022 21:01,Vista,CA,USA,Changing,"First there were 2 orange big lights, they disappeared and c/m and back smaller as 5 lights and were spinning in a circle",09/19/2022,N,,https://nuforc.org/sighting/?id=171908
171894,09/19/2022 21:00,Wilmington,NC,USA,Cigar,"it was a flying stick with large windows about 6 with white light coming out of the windows, it was flying fast and went quickly.",09/20/2022,N,,https://nuforc.org/sighting/?id=171894
171907,09/19/2022 20:55,Arcola,TX,USA,Formation,Bright lights in a V or horseshoe formation that disappeared rapidly.,09/19/2022,Y,,https://nuforc.org/sighting/?id=171907
171920,09/19/2022 20:41,Ventura,CA,USA,Rectangle,Ladder with lights,09/22/2022,N,,https://nuforc.org/sighting/?id=171920
172545,09/19/2022 20:28,Summerville,SC,USA,Light,"A string of 10 lights similar to the Earthlink, but much shorter, rotating together at an angle, then flickered out and disappeared.",10/24/2022,N,,https://nuforc.org/sighting/?id=172545
171895,09/19/2022 20:28,Dallas,GA,USA,Light,Multiple straight lights traveling low.  ((NUFORC Note:  Starlink satellittes.  PD)),09/20/2022,N,,https://nuforc.org/sighting/?id=171895
171897,09/19/2022 20:28,Valdosta,GA,USA,Changing,"Line moving very fast , lights then became a circle type then a sprial",09/20/2022,N,,https://nuforc.org/sighting/?id=171897
171901,09/19/2022 20:15,McCormick,SC,USA,Rectangle,A string of rectangle e=devices in a straight line moving across the sky,09/20/2022,N,,https://nuforc.org/sighting/?id=171901
171909,09/19/2022 19:51,,-,USA,Orb,Shadowed Beings With Red Glowing Eyes,09/19/2022,Y,,https://nuforc.org/sighting/?id=171909
171910,09/19/2022 19:45,Lackawanna,NY,USA,Cigar,Flashing light standing pretty still in the sky seemed to fade in and out,09/19/2022,N,,https://nuforc.org/sighting/?id=171910
171891,09/19/2022 19:31,Dothan,AL,USA,Cigar,It's was cigar 5 bright lights. I walked outside after a misunderstanding with my girlfriend. As soon as I got outside I looked up and,09/20/2022,N,,https://nuforc.org/sighting/?id=171891
175076,09/19/2022 19:20,Georgetown,DE,USA,Formation,"I have a series of photos where a formation appears, changes, then disappears with just a few minutes",03/21/2023,Y,Cloud,https://nuforc.org/sighting/?id=175076
171892,09/19/2022 19:15,Phoenix,AZ,USA,Light,Unexplained light over Southeastern Phoenix Metro,09/20/2022,Y,,https://nuforc.org/sighting/?id=171892
174420,09/19/2022 18:50,Seaside,CA,USA,Circle,I saw 2 unidentifiable circular objects that appeared to be floating upwards in the sky in sync together.,02/11/2023,Y,,https://nuforc.org/sighting/?id=174420
173417,09/19/2022 18:50,Champaign,IL,USA,Egg,Was standing on my porch and looked up and saw this egg/cigar shaped bright object slowly moving across the sky. No sound no wings.,12/15/2022,Y,,https://nuforc.org/sighting/?id=173417
171896,09/19/2022 12:30,Fowler,CA,USA,Oval,It keeps triggering my ring camera's.,09/20/2022,N,,https://nuforc.org/sighting/?id=171896
181656,09/19/2022 09:50,Kozarska Dubica,Republika Srpska,Bosnia and Herzegovina,Oval,Flat Oval like an Eyelid UFO,05/26/2024,N,,https://nuforc.org/sighting/?id=181656
172076,09/19/2022 01:41,Jamestown,TN,USA,Light,Have 1:42 of mystery light within close proximity,09/26/2022,N,,https://nuforc.org/sighting/?id=172076
171912,09/19/2022 00:05,Winterport,ME,USA,Triangle,I saw one small Aircraft do what looked like a traffic pattern and another seem do a decent through the cloud layer.,09/19/2022,N,,https://nuforc.org/sighting/?id=171912
171866,09/18/2022 23:48,Fairbanks,AK,USA,Circle,Saw a satellite then saw a light pacing behind it.,09/19/2022,Y,,https://nuforc.org/sighting/?id=171866
171867,09/18/2022 23:30,Palo Alto,CA,USA,Triangle,"Angular shaped vessel, bright lights surrounding it at the top.",09/19/2022,Y,,https://nuforc.org/sighting/?id=171867
171868,09/18/2022 22:01,Douglasville,GA,USA,Light,Flickering light red and white in color,09/18/2022,N,,https://nuforc.org/sighting/?id=171868
